model_type,accuracy,precision,recall,f1,roc_auc,recall_std,alpha,binarize,var_smoothing,norm
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7265133607571684,0.0037880768210783212,1.6733333333333336,0.21052631578947367,,
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.726468266244137,0.003793391698946892,3.9919191919191923,0.15789473684210525,,
gaussian,0.6114417798324184,0.5671640813832235,0.9517763541013613,0.7107718776887705,0.6570985593495742,0.0037034088306210945,,,0.00035938136638046257,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7265293922851114,0.0037880768210783212,2.0765656565656565,0.3157894736842105,,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7264848106934314,0.0037880768210783212,2.731818181818182,0.15789473684210525,,
complement,0.691534238659347,0.6445485294617476,0.8585318883286078,0.736305191802795,0.7675299701279498,0.003597981664086003,2.378989898989899,,,False
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569028109327031,0.0037779216506808257,,,4.6415888336127725e-07,
gaussian,0.6114071077723202,0.567138327309476,0.9517993982302576,0.7107583302270812,0.657601840169247,0.0036573713517413127,,,0.0016681005372000558,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569131709139628,0.0037779216506808257,,,1.2915496650148827e-05,
bernoulli,0.680577867668304,0.6304060695957154,0.8779549384030062,0.7338643680314373,0.72652120688448,0.003793391698946892,3.5382828282828283,0.3684210526315789,,
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7266103086315369,0.0037880768210783212,3.135050505050505,0.7368421052631579,,
gaussian,0.6114302224790523,0.5671581570829514,0.951753315280949,0.7107607988993727,0.6571147658620203,0.003687043170238323,,,0.00046415888336127724,
complement,0.691545796012713,0.6445596194083223,0.8585318883286078,0.7363124600144753,0.7675370522111672,0.003597981664086003,2.1773737373737374,,,False
complement,0.6915457960127129,0.6445644743739697,0.8585088495081955,0.7363071761285551,0.7675675711547865,0.003589041064741671,1.370909090909091,,,False
complement,0.5842126553019359,0.5483152862826894,0.9708999472867543,0.7008339455199796,0.7309631634053796,0.0016984507308865293,2.7822222222222224,,,True
bernoulli,0.6805663103149378,0.6303999623597909,0.8779318995825939,0.7338521830325315,0.7264785407377986,0.0037880768210783212,2.3285858585858588,0.10526315789473684,,
gaussian,0.6114764518925166,0.5671881827388162,0.9517763541013613,0.7107905473096878,0.6569027935681024,0.0037779216506808257,,,1e-11,
complement,0.575036116729269,0.5426022867342918,0.9731118147211693,0.6967173376846999,0.7268175506844,0.002312371635006996,0.16121212121212125,,,True
bernoulli,0.6805778676683039,0.630410361212179,0.8779318995825939,0.7338592534748611,0.7266074501459721,0.0037880768210783212,0.4636363636363637,0.5789473684210527,,
